dyear,daily_fare,daily_miles,var,group,year
2011-01-01,880334.3952000026,180866.90000000075,paytype,Credit,2011
2011-01-01,1866817.9584000015,376434.0000000054,paytype,Cash,2011
2011-01-02,891662.5008000048,193432.50000000058,paytype,Credit,2011
2011-01-02,1501349.1839999517,309506.799999998,paytype,Cash,2011
2011-01-03,2180617.5888000075,454015.47999999585,paytype,Credit,2011
2011-01-03,3179002.73760006,627479.1499999953,paytype,Cash,2011
2011-01-04,2431809.8351999847,487334.2300000021,paytype,Credit,2011
2011-01-04,3274802.870400102,618111.9799999952,paytype,Cash,2011
2011-01-05,2637560.6207999834,516835.5700000003,paytype,Credit,2011
2011-01-05,3382730.4528000266,627414.5999999965,paytype,Cash,2011
2011-01-06,2931144.393600056,571917.3699999845,paytype,Credit,2011
2011-01-06,3599039.044800056,663109.0699999862,paytype,Cash,2011
2011-01-07,2848962.268800023,555426.6400000026,paytype,Credit,2011
2011-01-07,3575414.8224000754,664716.5699999972,paytype,Cash,2011
2011-01-08,2760319.0943999826,550731.0500000077,paytype,Credit,2011
2011-01-08,3826211.7888001897,732772.140000003,paytype,Cash,2011
2011-01-09,2812004.6256000088,583744.2000000069,paytype,Credit,2011
2011-01-09,3529369.8720001406,703485.5999999898,paytype,Cash,2011
2011-01-10,2863365.480000082,570373.5099999885,paytype,Credit,2011
2011-01-10,3326895.3168001156,621265.2100000051,paytype,Cash,2011
2011-01-11,3037741.1136000515,575823.4600000042,paytype,Credit,2011
2011-01-11,3435529.1184000834,612639.799999995,paytype,Cash,2011
2011-01-12,2151596.1168000232,417024.82999999746,paytype,Credit,2011
2011-01-12,2428351.07039997,448947.0799999942,paytype,Cash,2011
2011-01-13,3348038.937600126,639487.1400000011,paytype,Credit,2011
2011-01-13,3633777.1728001838,653754.8200000062,paytype,Cash,2011
2011-01-14,3423212.5392000745,652608.2699999919,paytype,Credit,2011
2011-01-14,3943520.942400238,710208.9299999938,paytype,Cash,2011
2011-01-15,2816610.7391999937,559040.4800000082,paytype,Credit,2011
2011-01-15,3832952.5872000237,730705.6399999795,paytype,Cash,2011
2011-01-16,2723121.950400031,557617.3600000025,paytype,Credit,2011
2011-01-16,3531055.9391999934,701852.120000001,paytype,Cash,2011
2011-01-17,2506974.767999989,522232.609999998,paytype,Credit,2011
2011-01-17,2925264.25440001,577901.4099999962,paytype,Cash,2011
2011-01-18,3027753.6480000317,575222.3699999982,paytype,Credit,2011
2011-01-18,3196638.2879999774,564643.209999997,paytype,Cash,2011
2011-01-19,3268660.363200034,625705.7200000086,paytype,Credit,2011
2011-01-19,3437366.457600122,616005.6599999848,paytype,Cash,2011
2011-01-20,3486083.0544000478,665760.8799999943,paytype,Credit,2011
2011-01-20,3664009.2672001948,654721.3999999696,paytype,Cash,2011
2011-01-21,3279649.1040000813,624226.1899999984,paytype,Credit,2011
2011-01-21,3697105.7808000823,666904.4099999941,paytype,Cash,2011
2011-01-22,3133299.312000034,603396.0199999937,paytype,Credit,2011
2011-01-22,4125928.766400108,762735.690000017,paytype,Cash,2011
2011-01-23,3016335.8159999945,616992.0899999972,paytype,Credit,2011
2011-01-23,3549923.9280001414,701780.070000001,paytype,Cash,2011
2011-01-24,2942531.0783999576,575021.9500000108,paytype,Credit,2011
2011-01-24,3209164.86240006,582830.5699999973,paytype,Cash,2011
2011-01-25,3061682.7408000072,586034.3400000016,paytype,Credit,2011
2011-01-25,3160346.299200054,565890.9599999931,paytype,Cash,2011
2011-01-26,2711782.3248000126,492622.28999999876,paytype,Credit,2011
2011-01-26,2852939.966400068,490037.2600000047,paytype,Cash,2011
2011-01-27,2314903.7663999847,427850.9499999978,paytype,Credit,2011
2011-01-27,2417235.2639999627,429131.699999995,paytype,Cash,2011
2011-01-28,3473509.2336000414,612914.399999988,paytype,Credit,2011
2011-01-28,3785204.534400086,635012.5899999947,paytype,Cash,2011
2011-01-29,3158414.7408000487,588415.04000001,paytype,Credit,2011
2011-01-29,4045618.6704000793,730797.6399999983,paytype,Cash,2011
2011-01-30,2981331.460799981,595760.2599999901,paytype,Credit,2011
2011-01-30,3568807.972800083,688356.5799999976,paytype,Cash,2011
2011-01-31,3088309.305600011,573567.780000004,paytype,Credit,2011
2011-01-31,3322894.464000136,574550.3800000033,paytype,Cash,2011
2011-02-01,2923049.0879999623,522101.11999999086,paytype,Credit,2011
2011-02-01,3111368.616000084,521345.3600000073,paytype,Cash,2011
2011-02-02,2936790.9071999905,542775.4199999947,paytype,Credit,2011
2011-02-02,3005500.579200027,527143.0899999959,paytype,Cash,2011
2011-02-03,3587422.0032000137,649016.2200000099,paytype,Credit,2011
2011-02-03,3690192.2256001183,628451.5599999974,paytype,Cash,2011
2011-02-04,3617746.848000058,650000.5100000013,paytype,Credit,2011
2011-02-04,4026051.648000184,684074.6599999836,paytype,Cash,2011
2011-02-05,3209668.3008000213,602264.1599999989,paytype,Credit,2011
2011-02-05,4049903.692800063,733192.2500000024,paytype,Cash,2011
2011-02-06,2983282.1279999977,603619.6200000112,paytype,Credit,2011
2011-02-06,3485939.976000055,684211.7399999776,paytype,Cash,2011
2011-02-07,3033998.2224000217,587790.0799999926,paytype,Credit,2011
